2 10 01101010111110111111
2 10 110101000100011111000001111110010110011100100001000010010110101111111000111011011110011010
10 16 1026524559886242072745981850
10 16 843543689
10 2 239493
10 2 8793278316383117319
2 16 10001000111110000011111100101100111001000010000100101101011111110001110110111100110100011010000111011111111001010111010010110111
2 16 11110000011111100101100111001001
2 11000001111110010110011100100001000010010110101111111000111011011110011010001101000011101111111100101011101001011011100110101100 + 101000011101111111100101011101001011011100110101100
2 11001011001110010000 + 0111011111111001010111010010110
10 46390111040093134189024886908405332 + 44100755441609279498793179278503490438
10 09313418 + 10
16 C1F96721096BF8EDE68D0EFF2BA5B9AC + 68D0EFF2BA5B9AC
16 85AF + 90BC
2 1111111000111011011110011010001101000011101111111100101011101001011011100110101100111000100111010110011100001100010000010101011 - 1101110011010110011100010011101011001110000110001000001010101101011100010111001011000011111 
2 11000111011011110011010 - 1101000011101111111100101011101001
10 168966361775371038469256277997329457323 - 61775371038469256277997329457323
10 -62557061740573542735404987018325895041 - 96636177537103846925627799732945732
